id,text,category,topic,emotion,urgency
34,telefonumdaki arızayı giderdiğiniz için teşekkür ederim çok memnun kaldım,mobil_hizmetler,cihaz_islemleri,memnun,dusuk
35,yeni tv paketi almak istiyorum en güncel paketler neler,tv_hizmetleri,paket_degisikligi,notr,dusuk
36,şirket adresimiz değişti internet bağlantımızı taşımak istiyoruz,kurumsal_hizmetler,baglanti_sorunu,notr,orta
37,telefonum suya düştü ne yapmalıyım açılmıyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
38,internet paketimi yükselttiğiniz için teşekkürler hız artışını fark ettim,sabit_internet,paket_degisikligi,memnun,dusuk
39,faturam neden bu kadar yüksek geldi geçen aydan çok fazla,kategori_belirtilmemis,fatura_odeme,memnun_degil,orta
40,şirketimize özel internet tarifeleri nelerdir detaylı bilgi alabilir miyim,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
41,internet kesilmesi ne zaman düzelecek çalışamıyorum bu şekilde,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
42,tarifemi değiştirdim ama daha kötü oldu eski tarifeme geri dönmek istiyorum,mobil_hizmetler,paket_degisikligi,memnun_degil,orta
43,tv kurulumunu yapamıyorum bağlantı sorunları var,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
44,çağrı merkezinizdeki personel çok ilgiliydi teşekkür ederim,kategori_belirtilmemis,bilgi_isteme,memnun,dusuk
45,her gün internet kesiliyor çözüm bulun artık,sabit_internet,sikayet,memnun_degil,yuksek
46,telefonumun şarjı çok hızlı bitiyor garanti kapsar mı,mobil_hizmetler,cihaz_islemleri,memnun_degil,dusuk
47,tv kumandası çalışmıyor tuşlar basmıyor değiştirebilir miyiz,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
48,kurumsal paketimizde değişiklik yapmak istiyoruz daha ekonomik olsun,kurumsal_hizmetler,paket_degisikligi,notr,orta
49,internet bağlantım çok iyi teşekkürler hızından çok memnunum,sabit_internet,teknik_destek,memnun,dusuk
50,telefonuma gelen reklam mesajlarını nasıl engelleyebilirim,mobil_hizmetler,teknik_destek,notr,dusuk
51,tv de bazı kanallar gitmiş yardımcı olur musunuz,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
52,firma internet hızımızı artırabilir misiniz çalışanlar şikayet ediyor,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
53,internet modemim sürekli resetleniyor kendiliğinden kapanıyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
54,telefon hattımı başka operatöre taşımak istiyorum memnun değilim artık,mobil_hizmetler,iptal_iade,memnun_degil,orta
55,tv kutusunu nereye iade edebilirim sözleşmemi iptal ettirdim,tv_hizmetleri,iptal_iade,notr,dusuk
56,şirketimiz için toplu hat almak istiyoruz fiyat teklifi alabilir miyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
57,modemim hiç çalışmıyor acil yardım edin evden çalışıyorum,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
58,cep telefonumu kaybettim şimdi ne yapmalıyım hattımı kötüye kullanabilirler,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
59,tv kurulumu için teknisyen ne zaman gelecek evde beklemem gerekiyor,tv_hizmetleri,teknik_destek,notr,orta
60,şirket hatlarımız için indirim istiyoruz çok sayıda hat kullanıyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
61,internet paketim neden yavaşladı sözleşmede belirtilen hızın altında,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
62,telefonumda internet paketi kalmamış ek paket satın almak istiyorum,mobil_hizmetler,paket_degisikligi,memnun_degil,orta
63,tv yayın kalitesi çok düşük ücretini boşuna ödüyorum,tv_hizmetleri,sikayet,memnun_degil,orta
64,kurumsal müşteri olarak daha iyi hizmet bekliyoruz maalesef hayal kırıklığı,kurumsal_hizmetler,sikayet,memnun_degil,orta
65,internet bağlantımı iptal etmek istiyorum taşınıyorum başka şehre,sabit_internet,iptal_iade,notr,orta
66,hat taşıma işlemim neden bu kadar uzun sürüyor hala sonuçlanmadı,mobil_hizmetler,bilgi_isteme,memnun_degil,orta
67,tv paketimi yenilemek istiyorum güncel fiyatlar nedir,tv_hizmetleri,paket_degisikligi,notr,dusuk
68,şirketimize özel kampanya var mı internet ve telefon için,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
69,internetim kesildi acil toplantım var çok önemli bir iş görüşmesi,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
70,yeni telefon almak istiyorum taksit seçenekleri neler acaba,mobil_hizmetler,cihaz_islemleri,notr,dusuk
71,tv kanallarından bazıları donuyor ses gidiyor görüntü kalıyor,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
72,kurumsal hatlarımızın faturası çok yüksek gelmiş kontrol eder misiniz,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
73,evde interneti kendim kurabilir miyim modem geldi ama bağlayamadım,sabit_internet,teknik_destek,notr,orta
74,telefon hattımı geçici olarak dondurmak istiyorum yurt dışına çıkacağım,mobil_hizmetler,bilgi_isteme,notr,dusuk
75,tv yayını kesintisiz olduğu için teşekkürler çok memnun kaldım,tv_hizmetleri,teknik_destek,memnun,dusuk
76,şirketimiz için fiber internet bağlatmak istiyoruz mümkün mü,kurumsal_hizmetler,baglanti_sorunu,notr,orta
77,modem ışıkları yanıp sönüyor internet yok hiçbir cihaz bağlanamıyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
78,telefonumdan arama yapamıyorum yardım edin acil aramam gerekiyor,mobil_hizmetler,ariza_bildirimi,memnun_degil,yuksek
79,tv kumandamı kaybettim yenisini nasıl alabilirim,tv_hizmetleri,cihaz_islemleri,notr,dusuk
80,iş yerimiz için yeni hatlar açtırdık teşekkürler her şey çok hızlı oldu,kurumsal_hizmetler,bilgi_isteme,memnun,dusuk
81,internet modemim arızalandı yardım edin çalışmıyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
82,telefonum çalışmıyor hiçbir şekilde açılmıyor servise göndermem gerekli mi,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
83,tv kutum açılmıyor siyah ekran var yardım edin,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
84,şirketimizin internet hızını yükseltmek istiyoruz ne yapmamız gerekiyor,kurumsal_hizmetler,paket_degisikligi,notr,orta
85,modem wifi şifresini unuttum nasıl öğrenebilirim,sabit_internet,teknik_destek,memnun_degil,orta
86,faturamı kredi kartıyla ödemek istiyorum nasıl yapabilirim,kategori_belirtilmemis,fatura_odeme,notr,dusuk
87,tv paketini yükseltmek istiyorum daha fazla kanal olsun,tv_hizmetleri,paket_degisikligi,notr,dusuk
88,şirketimiz için indirimli paketler var mı uzun süredir müşteriniziz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
89,internetimi taşımak istiyorum yeni adresime aynı paket devam etsin,sabit_internet,bilgi_isteme,notr,dusuk
90,telefonumun ekranı kırıldı ne yapmalıyım garanti kapsamında mı,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
91,tv de bazı kanallar çalışmıyor yardım edin sadece karıncalı görüntü var,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
92,firmamız için yeni hat başvurusu yapmak istiyoruz nasıl ilerlemeliyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
93,internet çok yavaş ödediğim paranın karşılığını alamıyorum hiç memnun değilim,sabit_internet,sikayet,memnun_degil,yuksek
94,hattımı kapatmak istiyorum nasıl yapabilirim artık kullanmıyorum,mobil_hizmetler,iptal_iade,notr,orta
95,tv paketimi iptal etmek istiyorum sözleşme sürem doldu,tv_hizmetleri,iptal_iade,notr,dusuk
96,şirketimiz adına kayıtlı hatlar hangileri liste alabilir miyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
97,modem ışıkları yanmıyor internet yok acil çözüm istiyorum,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
98,telefonumun şarjı çabuk bitiyor garanti kapsamında mı acaba,mobil_hizmetler,cihaz_islemleri,memnun_degil,dusuk
99,tv kanalları neden bu kadar az rakiplerinizde daha fazla var,tv_hizmetleri,sikayet,memnun_degil,orta
100,şirketimize ek data paketi almak istiyoruz mevcut paket yetersiz kaldı,kurumsal_hizmetler,paket_degisikligi,notr,orta
101,evde internet yok modem resetleme işe yaramadı kablolar takılı,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
102,telefonum çalındı acil hattımı kapatın kredi kartı bilgilerim vardı,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
103,tv altyazıları çalışmıyor nasıl açabilirim,tv_hizmetleri,teknik_destek,notr,dusuk
104,şirketimize yeni internet hattı bağlatmak istiyoruz fiber altyapı var mı,kurumsal_hizmetler,baglanti_sorunu,notr,orta
105,internet faturamı nasıl sorgulayabilirim online işlem yapmak istiyorum,sabit_internet,fatura_odeme,notr,dusuk
106,sim kartım bozuldu yenisini nasıl alabilirim telefon çekmiyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
107,tv kumandası bozuk yenisini istiyorum tuşlar çalışmıyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
108,firma adresimiz değişti hatlarımızı taşımak istiyoruz yeni adrese,kurumsal_hizmetler,baglanti_sorunu,notr,orta
109,internet bağlantımı evden ofise taşımak istiyorum aynı paket devam etsin,sabit_internet,bilgi_isteme,notr,dusuk
110,telefonum suya düştü garanti kapsar mı ne yapmalıyım,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
111,tv kalitesi çok iyi teşekkür ederiz görüntü net kanallar akıcı,tv_hizmetleri,teknik_destek,memnun,dusuk
112,şirketimiz için daha uygun internet paketi istiyoruz mevcut paket çok pahalı,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
113,internet hızım düştü anlamadığım bir sebepten dolayı yardım edin,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
114,fatura ödemesini geciktirdim faiz gelir mi kaç gün süre var,kategori_belirtilmemis,fatura_odeme,notr,orta
115,tv kutum çalışmıyor yardım edin teknik servis gerekiyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
116,firmamıza tanımlı hatları listeleyebilir misiniz güncel durum nedir,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
117,internet yavaşladı online derslerim var acil yardım istiyorum,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
118,telefonumdan arama yapamıyorum sadece mesaj gönderebiliyorum,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
119,tv kanalları donuyor sürekli görüntü kasıyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
120,şirket çalışanlarımız için toplu hat almak istiyoruz fiyat teklifi alabilir miyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
121,modem sürekli resetleniyor internet kesiliyor çözüm bulamadık,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
122,hat taşıma işlemi ne zaman tamamlanacak kaç gün sürer,mobil_hizmetler,bilgi_isteme,notr,orta
123,tv kurulumu için gelecek teknisyen gecikti hala gelmedi,tv_hizmetleri,teknik_destek,memnun_degil,orta
124,şirketimize kurumsal tv paketi almak istiyoruz toplantı odaları için,kurumsal_hizmetler,paket_degisikligi,notr,dusuk
125,internet çok yavaş sürekli kesiliyor artık dayanamıyorum,sabit_internet,sikayet,memnun_degil,yuksek
126,telefonumun şebeke çekmesi ile ilgili sorun yaşıyorum kapsama alanı dışı diyor,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
127,tv kanallarım gitmiş yardım edin hiçbir yayın gelmiyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
128,firma adımız değişti fatura bilgilerimizi güncelleyin lütfen,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
129,internet paketimi yükseltmek istiyorum daha hızlı bir pakete geçmek istiyorum,sabit_internet,paket_degisikligi,notr,orta
130,telefonumun ekranı kırıldı değişim ücreti ne kadar bilgi alabilir miyim,mobil_hizmetler,cihaz_islemleri,notr,dusuk
131,tv de ses yok görüntü var yardım edin,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
132,şirketimizin internet faturası çok yüksek geldi kontrol edebilir misiniz,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
133,internet hızım neden düştü önceden daha iyiydi,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
134,telefonumu kaybettim hattımı kapattırabilir miyim acil yardım edin,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
135,tv kumandası bozuldu yenisini nasıl alabilirim,tv_hizmetleri,cihaz_islemleri,notr,dusuk
136,firmamız için yeni hatlar almak istiyoruz toplu hat başvurusu nasıl yapılır,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
137,modem ışıkları yanıyor ama internet yok bağlantı sorunu yaşıyoruz,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
138,sim kartımı kaybettim yenisini nasıl alabilirim aynı numara devam etsin,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
139,tv paketimi değiştirmek istiyorum daha ekonomik olanı tercih ederim,tv_hizmetleri,paket_degisikligi,notr,dusuk
140,şirket hatlarımızı başka operatöre taşımak istiyoruz memnun kalmadık,kurumsal_hizmetler,iptal_iade,memnun_degil,orta
141,evde internet yok acil iş görüşmem vardı iptal etmek zorunda kaldım,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
142,telefon hattımı iptal etmek istiyorum başka operatöre geçeceğim,mobil_hizmetler,iptal_iade,memnun_degil,orta
143,tv yayını kesik gelip gidiyor sürekli donuyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
144,şirketimiz için en uygun internet paketi hangisi öneriniz nedir,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
145,wifi şifresini unuttum ne yapmalıyım modeme nasıl erişebilirim,sabit_internet,teknik_destek,memnun_degil,orta
146,faturamı ödedim ama sistem hala borç gösteriyor ne yapmalıyım,kategori_belirtilmemis,fatura_odeme,memnun_degil,orta
147,tv kanalları çekmiyor yardım edin görüntü yok,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
148,kurumsal faturamızda hata var düzeltir misiniz yanlış tutarlar var,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
149,internet modem ışıkları yanıp sönüyor bağlantı kurulamıyor,sabit_internet,teknik_destek,memnun_degil,yuksek
150,telefonumdan mesaj gönderemiyorum sadece arama yapabiliyorum,mobil_hizmetler,teknik_destek,memnun_degil,orta
151,tv kutum arızalandı servis ne zaman gelir evde bekleyeceğim,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
152,şirketimiz için toplu sms paketi almak istiyoruz müşterilerimize bilgilendirme için,kurumsal_hizmetler,paket_degisikligi,notr,dusuk
153,internet bağlantı hızımı ölçmek istiyorum nasıl yapabilirim,sabit_internet,teknik_destek,notr,dusuk
154,telefonum çalındı acil yardım edin hattımı kapattırın lütfen,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
155,tv kanalları karışmış sıralama bozulmuş nasıl düzeltebilirim,tv_hizmetleri,teknik_destek,memnun_degil,dusuk
156,kurumsal hatlarımızı birleştirmek istiyoruz tek fatura olsun artık,kurumsal_hizmetler,fatura_odeme,notr,orta
157,internet kesintisiz çalıştığı için teşekkürler çok memnunum,sabit_internet,teknik_destek,memnun,dusuk
158,hat taşıma işlemimi iptal etmek istiyorum vazgeçtim,mobil_hizmetler,iptal_iade,memnun_degil,orta
159,tv kumandası arızalandı yardım edin değiştirilmesi gerekiyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
160,şirket internet hızımızı artırabilir misiniz yetersiz kalıyor,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
161,evde internet yok iş yapamıyorum evden çalışıyorum acil,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
162,telefonuma gelen mesajları engelleme yapamıyorum sürekli reklam geliyor,mobil_hizmetler,teknik_destek,memnun_degil,dusuk
163,tv kanallarından bazıları gitmiş gelmiyor yardım edin,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
164,kurumsal müşteri olarak daha iyi hizmet bekliyoruz sorunlarımız çözülmüyor,kurumsal_hizmetler,sikayet,memnun_degil,orta
165,modem ışıkları yanmıyor hiç internet yok acil çözüm istiyorum,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
166,telefon tarifemi değiştirmek istiyorum daha uygun bir pakete geçmek için,mobil_hizmetler,paket_degisikligi,notr,dusuk
167,tv paketimde sorun var kanallar gitmiş yarısı gelmiyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
168,şirket adresimiz değişti internet bağlantısını taşıyabilir miyiz,kurumsal_hizmetler,baglanti_sorunu,notr,orta
169,internet bağlantım yavaşladı sebebini öğrenebilir miyim,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
170,telefon faturamı nasıl ödeyebilirim online ödeme yapmak istiyorum,mobil_hizmetler,fatura_odeme,notr,dusuk
171,tv kanallarında donma yaşıyorum yayın kalitesi düşük,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
172,şirketimiz için daha ekonomik bir paket istiyoruz maliyetleri düşürmek için,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
173,modem arızalı değişim yapılmasını istiyorum internete giremiyorum,sabit_internet,cihaz_islemleri,memnun_degil,yuksek
174,sim kartım bozuldu telefonu görmüyor yenisiyle değiştirilmesi gerekiyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
175,tv paketimi iptal etmek istiyorum nasıl yapabilirim kullanmıyorum artık,tv_hizmetleri,iptal_iade,memnun_degil,dusuk
176,şirketimizin internet hızını yükseltmek istiyoruz işlerimiz aksıyor,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
177,internet bağlantım kopuyor sürekli online toplantılarda sorun yaşıyorum,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
178,telefon şebekesi çekmiyor evimin içinde sürekli kapsama alanı dışında,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
179,tv yayınlarında kesinti var yardım edin resim donuyor ses gitmiyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
180,firmamıza ait hatların dökümünü alabilir miyim kaç hat var göremiyorum,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
181,modem kurulumunu nasıl yapacağım anlatır mısınız yeni aldım,sabit_internet,teknik_destek,notr,orta
182,telefon faturamda anlamadığım bir ücretlendirme var fazla gelmiş,mobil_hizmetler,fatura_odeme,memnun_degil,orta
183,tv kumandası bozuldu değiştirmeniz mümkün mü bazı tuşlar çalışmıyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
184,şirketimizin internet paketi yetersiz kaldı daha yüksek hız istiyoruz,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
185,internette yavaşlama var özellikle akşamları hiçbir şey açılmıyor,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
186,telefon hattımı yurt dışında kullanabilir miyim ücretlendirme nasıl olur,mobil_hizmetler,bilgi_isteme,notr,dusuk
187,tv ses sorunu yaşıyorum ses gelmiyor görüntü var,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
188,kurumsal hattımıza ek paket almak istiyoruz data yetersiz kaldı,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
189,internet bağlantım çok iyi teşekkürler hız testleri mükemmel çıkıyor,sabit_internet,teknik_destek,memnun,dusuk
190,telefonumu değiştirdim sim kartımı nasıl aktarabilirim yeni cihaza,mobil_hizmetler,cihaz_islemleri,notr,dusuk
191,tv kutumu iade etmek istiyorum paketimi iptal edin kullanmıyorum,tv_hizmetleri,iptal_iade,memnun_degil,orta
192,şirketimizin internet faturası çok yüksek detaylı açıklama istiyorum,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
193,evde internet yok acil çözüm bekliyorum önemli bir toplantım var,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
194,kredi kartımla birlikte telefonum çalındı acil yardım hattı kapatılmalı,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
195,tv kanalları neden donuyor sürekli izleyemiyorum dizileri,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
196,şirketimize tanımlı hatları öğrenmek istiyoruz liste alabilir miyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
197,internet faturamı nasıl ödeyebilirim online ödeme yapmak istiyorum,sabit_internet,fatura_odeme,notr,dusuk
198,telefonum hiç şebeke çekmiyor kapsama alanı dışında diyor sürekli,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
199,tv yayın kalitesinden çok memnunum görüntü çok net teşekkürler,tv_hizmetleri,teknik_destek,memnun,dusuk
200,şirket hatlarımız için indirim mümkün mü uzun süreli müşteriniziz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
201,wifi şifremi unuttum nasıl öğrenebilirim internete giremiyorum,sabit_internet,teknik_destek,memnun_degil,orta
202,hat taşıma işlemi yapmak istiyorum gerekli belgeler nelerdir,mobil_hizmetler,bilgi_isteme,notr,dusuk
203,tv kutumu değiştirmek istiyorum arızalı çalışmıyor artık,tv_hizmetleri,cihaz_islemleri,memnun_degil,orta
204,şirketimize fiber internet bağlatabilir miyiz altyapı var mı,kurumsal_hizmetler,baglanti_sorunu,notr,orta
205,internet modemi nereye koyarsam daha iyi çalışır sinyal güçlü olur,sabit_internet,teknik_destek,notr,dusuk
206,tarifemi yenilemek istiyorum nasıl yapabilirim daha uygun bir paket var mı,mobil_hizmetler,paket_degisikligi,notr,dusuk
207,tv kurulumunda sorun yaşıyorum yardım edin bağlantı yapamıyorum,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
208,şirketimizin internet hızını artırmak istiyoruz ne yapmamız gerekiyor,kurumsal_hizmetler,paket_degisikligi,notr,orta
209,modem hiç çalışmıyor internet yok acil yardım toplantım var,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
210,telefonum açılmıyor garanti kapsamında mı tamir ettirebilir miyim,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
211,tv kanallarında çözünürlük düşük görüntü kalitesi kötü,tv_hizmetleri,teknik_destek,memnun_degil,orta
212,şirket hatlarımızı yenilemek istiyoruz daha uygun tarifeler var mı,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
213,internet hızım neden çok düşük önceden daha iyiydi,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
214,telefonumun şarjı çok çabuk bitiyor garanti kapsamında değiştirebilir misiniz,mobil_hizmetler,cihaz_islemleri,memnun_degil,dusuk
215,tv de görüntü var ama ses yok ayarlarda sorun olabilir mi,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
216,firmamız için özel internet paketi istiyoruz indirimli fiyat alabilir miyiz,kurumsal_hizmetler,paket_degisikligi,notr,orta
217,modemimi resetlemek istiyorum nasıl yaparım internette sorun var,sabit_internet,teknik_destek,notr,orta
218,telefon faturamda hata var fazla ücret yansımış düzeltilmesini istiyorum,mobil_hizmetler,fatura_odeme,memnun_degil,orta
219,tv uydu alıcısı bozuldu değiştirmeniz mümkün mü çalışmıyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,orta
220,şirketimize yeni hat almak istiyoruz en uygun tarife nedir,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
221,internet çok yavaş acil bir şey yapın online eğitim alıyorum,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
222,telefonumda internet paketi bitti yenisini nasıl alırım,mobil_hizmetler,paket_degisikligi,notr,dusuk
223,tv yayını kesildi tekrar ne zaman gelecek bilgi verir misiniz,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
224,şirket faturamız yanlış kesilmiş düzeltmenizi istiyoruz,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
225,evde internet bağlantısı çok iyi teşekkürler çok memnun kaldım,sabit_internet,teknik_destek,memnun,dusuk
